_id,date,center_name,attendance_count
40750117,2025-03-26,Warrington Community Center,76
40750118,2025-03-26,West Penn Community Center,32
40750119,2025-03-26,Arlington Community Center,109
40750120,2025-03-26,Brookline Community Center,40
40750121,2025-03-26,Jefferson Community Center,69
40750122,2025-03-26,Magee Community Center,3
40750123,2025-03-26,Ormsby Community Center,13
40750124,2025-03-26,Paulson Community Center,20
40750125,2025-03-25,West Penn Community Center,27
40750126,2025-03-25,Warrington Community Center,51
40750127,2025-03-25,Arlington Community Center,42
40750128,2025-03-25,Brookline Community Center,72
40750129,2025-03-25,Magee Community Center,21
40750130,2025-03-25,Jefferson Community Center,81
40750131,2025-03-25,Paulson Community Center,23
40750132,2025-03-25,Ormsby Community Center,20
40750133,2025-03-24,Warrington Community Center,65
40750134,2025-03-24,West Penn Community Center,31
40750135,2025-03-24,Arlington Community Center,29
40750136,2025-03-24,Brookline Community Center,46
40750137,2025-03-24,Jefferson Community Center,46
40750138,2025-03-24,Magee Community Center,36
40750139,2025-03-24,Ormsby Community Center,12
40750140,2025-03-24,Paulson Community Center,22
40750141,2025-03-22,West Penn Community Center,25
40750142,2025-03-22,Warrington Community Center,9
40750143,2025-03-22,Arlington Community Center,2
40750144,2025-03-22,Brookline Community Center,8
40750145,2025-03-22,Magee Community Center,9
40750146,2025-03-22,Paulson Community Center,8
40750147,2025-03-22,Ormsby Community Center,12
40750148,2025-03-21,Warrington Community Center,76
40750149,2025-03-21,West Penn Community Center,35
40750150,2025-03-21,Arlington Community Center,30
40750151,2025-03-21,Brookline Community Center,48
40750152,2025-03-21,Magee Community Center,60
40750153,2025-03-21,Ormsby Community Center,5
40750154,2025-03-21,Paulson Community Center,15
40750155,2025-03-20,West Penn Community Center,45
40750156,2025-03-20,Warrington Community Center,55
40750157,2025-03-20,Arlington Community Center,3
40750158,2025-03-20,Brookline Community Center,26
40750159,2025-03-20,Magee Community Center,35
40750160,2025-03-20,Jefferson Community Center,34
40750161,2025-03-20,Paulson Community Center,10
40750162,2025-03-20,Ormsby Community Center,12
40750163,2025-03-19,Warrington Community Center,92
40750164,2025-03-19,West Penn Community Center,26
40750165,2025-03-19,Arlington Community Center,68
40750166,2025-03-19,Brookline Community Center,34
40750167,2025-03-19,Jefferson Community Center,50
40750168,2025-03-19,Magee Community Center,24
40750169,2025-03-19,Ormsby Community Center,11
40750170,2025-03-19,Paulson Community Center,16
40750171,2025-03-18,West Penn Community Center,35
40750172,2025-03-18,Warrington Community Center,76
40750173,2025-03-18,Arlington Community Center,17
40750174,2025-03-18,Brookline Community Center,39
40750175,2025-03-18,Magee Community Center,28
40750176,2025-03-18,Jefferson Community Center,49
40750177,2025-03-18,Paulson Community Center,22
40750178,2025-03-18,Ormsby Community Center,10
40750179,2025-03-17,Warrington Community Center,84
40750180,2025-03-17,West Penn Community Center,47
40750181,2025-03-17,Arlington Community Center,30
40750182,2025-03-17,Brookline Community Center,50
40750183,2025-03-17,Jefferson Community Center,28
40750184,2025-03-17,Magee Community Center,37
40750185,2025-03-17,Ormsby Community Center,11
40750186,2025-03-17,Paulson Community Center,21
40750187,2025-03-16,Warrington Community Center,1
40750188,2025-03-15,Warrington Community Center,6
40750189,2025-03-15,West Penn Community Center,32
40750190,2025-03-15,Magee Community Center,9
40750191,2025-03-15,Paulson Community Center,11
40750192,2025-03-15,Ormsby Community Center,4
40750193,2025-03-14,West Penn Community Center,50
40750194,2025-03-14,Warrington Community Center,68
40750195,2025-03-14,Arlington Community Center,13
40750196,2025-03-14,Brookline Community Center,23
40750197,2025-03-14,Magee Community Center,45
40750198,2025-03-14,Jefferson Community Center,66
40750199,2025-03-14,Ormsby Community Center,3
40750200,2025-03-14,Paulson Community Center,11
40750201,2025-03-13,Warrington Community Center,49
40750202,2025-03-13,West Penn Community Center,19
40750203,2025-03-13,Arlington Community Center,58
40750204,2025-03-13,Brookline Community Center,46
40750205,2025-03-13,Jefferson Community Center,81
40750206,2025-03-13,Magee Community Center,23
40750207,2025-03-13,Paulson Community Center,18
40750208,2025-03-13,Ormsby Community Center,7
40750209,2025-03-12,West Penn Community Center,31
40750210,2025-03-12,Warrington Community Center,104
40750211,2025-03-12,Arlington Community Center,79
40750212,2025-03-12,Brookline Community Center,37
40750213,2025-03-12,Magee Community Center,31
40750214,2025-03-12,Jefferson Community Center,104
40750215,2025-03-12,Ormsby Community Center,11
40750216,2025-03-12,Paulson Community Center,12
40750217,2025-03-11,Warrington Community Center,58
40750218,2025-03-11,West Penn Community Center,23
40750219,2025-03-11,Arlington Community Center,12
40750220,2025-03-11,Brookline Community Center,48
40750221,2025-03-11,Jefferson Community Center,66
40750222,2025-03-11,Magee Community Center,32
40750223,2025-03-11,Paulson Community Center,24
40750224,2025-03-11,Ormsby Community Center,16
40750225,2025-03-10,West Penn Community Center,18
40750226,2025-03-10,Warrington Community Center,37
40750227,2025-03-10,Arlington Community Center,14
40750228,2025-03-10,Brookline Community Center,51
40750229,2025-03-10,Magee Community Center,31
40750230,2025-03-10,Jefferson Community Center,1
40750231,2025-03-10,Ormsby Community Center,23
40750232,2025-03-10,Paulson Community Center,16
40750233,2025-03-08,Warrington Community Center,21
40750234,2025-03-08,West Penn Community Center,40
40750235,2025-03-08,Arlington Community Center,1
40750236,2025-03-08,Brookline Community Center,14
40750237,2025-03-08,Magee Community Center,11
40750238,2025-03-08,Paulson Community Center,2
40750239,2025-03-08,Ormsby Community Center,4
